Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,TechSupport_No internet service,TechSupport_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0,1.0582816955390908,1,0,-0.7431245268631557,0.29162687808009324,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,-0.5434288337409641,1,0,1.266134472680104,-0.0381423548107836,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1,0,1,0,1.4951118398881966,1,0,0.4263985686156717,1.6368078904892884,0,0,0,1,0,0,1,0,1,1,0,0,1,0
0,0,0,0,0.3787681376627039,1,1,0.06111345034764389,-0.981580367066105,0,0,0,0,1,1,0,1,0,0,1,0,0,0
0,0,0,0,-1.7083092186719129,1,0,0.01530967376231111,-1.404660001397265,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,-1.465625805144632,1,1,-0.46601167852189307,-1.2424580929687667,0,0,0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,1.7377952534154777,1,1,0.7512236842333229,2.1773069638597797,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0.3787681376627039,1,1,0.6817546230789013,0.7604892214663109,1,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,1,1,0.9126716474227222,1,1,-0.660296030871346,0.18910231232630703,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,0,0.621451551189985,1,1,1.3646125923385692,1.4683055593827081,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,-0.6405021991518765,1,1,0.7630563265178671,-0.2816626608591591,0,0,1,1,0,0,0,0,0,0,1,1,0,0
0,0,1,0,0.3302314549572477,1,1,0.18402025085161985,0.35948009280643245,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1.4951118398881966,1,0,0.629843676282191,1.8420581571470676,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,-0.3492821029191392,1,1,1.3302597598995702,0.25623252772893185,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0.9126716474227222,1,0,0.3836483771360283,1.1069635439945888,1,0,0,1,0,0,0,0,1,1,0,0,1,0
1,1,0,0,0.42730482036816014,1,1,-2.138994618301169,-1.014789411190701,0,0,1,0,1,1,0,1,0,0,0,1,0,0
0,0,0,0,-1.222942391617351,1,1,-2.0355544228459594,-1.3161985879024949,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1,0,1,0,-0.6890388818573326,1,0,-0.12897222248148688,-0.6464076655453627,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0.7185249166008973,1,1,-1.8927993191550059,-0.7697361291326452,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,0,1,1,1.7377952534154777,0,1,-0.6587692383185013,0.8175952958694669,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,0,0.47584150307361633,1,0,-0.8729018938549316,-0.15237081187251805,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,1,1,-0.5919655164464203,1,1,1.3291146654849368,-0.02759091355266602,1,0,0,1,0,0,1,0,1,0,0,0,0,1
1,0,0,1,1.7377952534154777,1,1,-0.5385343247820031,0.8862258707709277,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,1.0097450128336345,1,1,0.8699318052169767,1.5371807581155008,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0.9126716474227222,1,1,-0.4412012995381713,0.39735329798175745,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1.6407218880045653,1,1,0.22600704605484126,1.5563429582365027,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,0,1,0,-0.6890388818573326,1,1,-2.0279204600817375,-1.1680272152221685,1,0,1,0,1,1,0,1,0,0,0,0,0,0
1,0,0,0,-0.7375755645627888,1,1,0.3000564848677957,-0.5505259958335237,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,-0.5919655164464203,1,1,-2.005400269927282,-1.1896573979970526,0,0,0,0,1,1,0,1,0,0,0,1,0,0
0,0,0,0,-1.1744057089118947,1,0,0.5893836736318142,-0.8794689437830127,0,0,1,1,0,0,0,0,1,1,0,0,0,1
1,0,0,1,-0.6890388818573326,1,1,-0.6137288580095909,-0.825108092375915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0.6699882338954412,1,1,-0.7171690534648005,0.05575514382469627,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0.2816947722517915,0,1,1.000472568485175,0.8233684182889006,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,1,-0.25220873750822675,1,0,-0.7427428287249447,-0.5266072212144007,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,-0.6405021991518765,1,1,0.9695550192900753,-0.19449503562787795,0,0,0,1,0,0,1,0,1,0,1,0,1,0
0,0,0,0,1.1553550609500032,1,1,0.06111345034764389,1.5558265301481353,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,-1.6597725359664568,1,1,0.9985640777941195,-1.3386224391079227,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,0,1,0.2331580895463353,1,1,0.7653465153471339,0.6428686472767737,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0.7185249166008973,1,0,0.4202913984042942,0.9538616420916388,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,-1.222942391617351,1,0,0.06111345034764389,-0.11273087902646238,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,0,1,1,-1.222942391617351,1,0,-1.9065404521306055,-1.2832178593538086,0,0,0,0,1,1,0,1,0,0,0,0,0,1
1,0,0,0,0.5729148684845288,1,0,-0.07057240733518766,0.3817191171170763,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0,1,0,-0.3492821029191392,1,0,-0.45417903623734873,-0.46135789127046134,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,-0.4948921510355078,1,0,0.045463826680988695,-0.41322679343461705,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-1.465625805144632,1,0,-1.0072596385052408,-1.329060365345414,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0.3302314549572477,1,1,1.6653907252489208,1.2857890007833777,1,0,1,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1.0582816955390908,1,1,0.9718452081193419,1.7061940812253082,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,-0.3492821029191392,0,1,0.8023712347536112,0.06259917501684995,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,-0.20367205480277056,0,1,-0.5744139497738472,-0.417515864610637,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,-1.6112358532610005,1,0,-0.31829449903419504,-1.315035265682383,0,0,0,0,0,0,1,0,1,0,1,1,0,0
1,0,0,0,1.4465751571827405,1,1,0.24012987716865236,1.4056601142211684,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1,1,0,1,0.47584150307361633,1,1,-1.9905140425370489,-0.9008653748968463,1,0,0,0,1,1,0,1,0,1,0,0,0,0
1,0,0,0,-0.3978187856245954,1,0,-0.7866381146192217,-0.6729520692874484,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,-1.222942391617351,1,0,1.402400708021469,-0.8076582590742365,1,0,1,1,0,0,0,0,1,1,0,1,0,0
0,0,1,1,-1.1744057089118947,1,1,1.1939935245582052,-0.7437081534789268,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,1.2524284263609156,1,0,-0.1014899565302873,0.9001150683054413,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,-0.3978187856245954,1,1,0.3729608292661173,-0.10415273667442225,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0,0,1,1,0.18462140684087908,1,0,-0.5301369657413588,-0.11273087902646238,0,0,1,0,0,0,1,0,1,0,1,0,0,1
0,0,1,0,-0.9802589780900699,0,0,0.3615098851197842,-0.7544987824832357,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,1,0,-1.3200157570282633,0,1,0.07370948890861032,-1.1022723293601433,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0.6699882338954412,1,1,1.3214807027207145,1.4673977331642096,0,0,1,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.6597725359664568,1,0,0.5550308411928145,-1.3639382876082082,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.6112358532610005,1,1,-0.14614863870098674,-1.3150841904486494,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0.3302314549572477,1,1,0.030577599290755552,0.279172807022727,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0.13608472413542289,1,1,-0.5427330043023253,-0.20080089439110124,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0.08754804142996668,1,0,-0.24348166394481857,-0.12145579567730141,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,-0.25220873750822675,1,1,0.9084833171762985,0.1323876360532818,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0.03901135872451047,1,1,0.35463931863198406,0.24013627962729017,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,0,1,0,-0.9317222953846137,1,0,0.25959648221741893,-0.6954465895997055,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,0,-0.10659868939185815,1,0,1.014595399598986,0.36049120464260453,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,-0.15513537209731437,1,0,0.05271609130699961,-0.09714018684290684,0,0,1,0,0,0,0,0,1,1,0,0,1,0
