CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SystemLogCode,RandomNoiseScore,Churn
CUST-10101,Female,0,No,No,58.0,Yes,No,DSL,No,Yes,Month-to-month,No,Bank transfer,54.74,3224.65,SYS_B,63.736097287363165,No
CUST-10432,Female,1,Yes,Yes,25.0,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Electronic check,107.38,2618.02,SYS_A,61.90376176503715,Yes
CUST-10309,Male,0,Yes,No,67.0,Yes,No,Fiber optic,Yes,Yes,One year,No,Electronic check,85.38,5699.19,SYS_B,21.236530714677325,No
CUST-10109,,0,No,No,44.0,Yes,No,No,No internet service,No internet service,Two year,Yes,Bank transfer,,882.51,SYS_C,49.74242842117686,No
CUST-10652,Female,0,No,No,1.0,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,74.61,104.23,SYS_C,41.86521371472699,No
CUST-10943,Female,0,No,Yes,6.0,Yes,No,DSL,No,Yes,One year,Yes,Credit card,62.0,402.61,SYS_A,48.59558321047086,No
CUST-10231,Female,0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,93.89,6693.47,SYS_A,69.88731075459178,No
CUST-10049,Male,0,Yes,No,44.0,Yes,No,Fiber optic,No,Yes,Two year,Yes,Mailed check,92.07,4087.15,SYS_C,51.3723713960151,Yes
CUST-11040,F,0,Yes,Yes,55.0,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card,56.91,3036.05,SYS_B,54.01149552425621,No
CUST-11187,Male,1,No,No,49.0,Yes,No,Fiber optic,No,No,Two year,Yes,Mailed check,109.96,5389.22,SYS_A,81.4293276667777,No
CUST-10899,Male,0,No,No,23.0,Yes,Yes,Fiber optic,No,No,Two year,Yes,Credit card,94.2,2170.05,SYS_C,77.41915207197289,No
CUST-11002,Female,0,Yes,No,43.0,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,79.03,3349.47,SYS_A,33.846023806145915,Yes
CUST-10155,Male,0,Yes,Yes,67.0,Yes,No,Fiber optic,No,No,One year,No,Bank transfer,90.71,6076.76,SYS_C,72.34452925082518,No
CUST-10558,Female,0,No,Yes,29.0,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,109.06,3159.54,SYS_A,76.84686049756066,No
CUST-10886,Female,0,No,No,55.0,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,84.26,4724.51,SYS_B,59.66877339606974,Yes
CUST-10078,Male,1,No,No,45.0,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,18.17,821.42,SYS_A,102.70514469598189,No
CUST-10270,Female,0,No,No,11.0,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,20.88,266.96,SYS_C,45.77805237425981,No
CUST-10208,Male,0,Yes,No,22.0,Yes,Yes,DSL,No,No,One year,No,Credit card,70.83,1499.08,SYS_A,37.830968997785064,Yes
CUST-10244,Male,0,Yes,No,51.0,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,24.62,1272.21,SYS_A,52.280939887300974,Yes
CUST-10588,Male,0,Yes,Yes,72.0,No,No phone service,DSL,No,Yes,Month-to-month,Yes,Mailed check,56.95,4192.2,SYS_B,57.98946701565595,No
CUST-10128,Male,0,Yes,No,46.0,Yes,Yes,DSL,No,Yes,Two year,No,Electronic check,51.34,2407.89,SYS_B,38.50695364481947,No
